iso-date,tmin,tavg,tmax,precip,globrad,wind,relhumid
1980-01-01,6.09,9.54,12.99,1.0,11.1,5.3125,70.7
1980-01-02,8.29,11.69,15.09,0.0,10.7,7.627314814814814,81.9
1980-01-03,3.59,6.49,9.39,0.5,9.4,5.68287037037037,69.5
1980-01-04,4.19,7.9399999999999995,11.69,0.5,10.8,3.6689814814814814,66.2
1980-01-05,5.79,9.49,13.19,0.0,9.1,1.9444444444444444,80.4
1980-01-06,9.09,11.49,13.89,1.0,9.6,4.710648148148148,73.85
1980-01-07,8.29,11.14,13.99,1.0,10.4,3.2175925925925926,72.1
1980-01-08,7.49,10.89,14.29,0.0,10.9,1.5740740740740742,79.2
1980-01-09,8.69,11.89,15.09,0.0,10.6,0.4513888888888889,77.8
1980-01-10,8.89,11.440000000000001,13.99,0.0,9.5,0.8217592592592593,83.85
1980-01-11,7.69,11.09,14.49,0.5,10.8,0.9027777777777778,81.85
1980-01-12,7.69,10.59,13.49,0.0,10.7,1.875,82.7
1980-01-13,8.69,11.29,13.89,0.0,9.6,1.3425925925925926,84.25
1980-01-14,10.49,12.690000000000001,14.89,0.0,9.4,6.203703703703703,85.2
1980-01-15,12.49,13.89,15.29,0.0,8.5,7.708333333333333,77.2
1980-01-16,9.49,11.690000000000001,13.89,2.0,9.3,5.914351851851852,67.8
1980-01-17,8.39,11.39,14.39,0.0,10.3,3.136574074074074,72.75
1980-01-18,9.29,11.79,14.29,0.0,8.9,2.2453703703703707,74.5
1980-01-19,7.59,10.34,13.09,5.6,10.3,1.0416666666666667,80.8
1980-01-20,7.39,10.14,12.89,0.0,11.1,1.875,78.25
1980-01-21,8.09,10.49,12.89,5.1,9.4,2.5462962962962963,79.65
1980-01-22,6.69,10.19,13.69,1.0,12.0,1.2731481481481481,75.35
1980-01-23,8.29,11.54,14.79,0.0,11.4,2.2453703703703707,82.05000000000001
1980-01-24,8.49,11.690000000000001,14.89,0.0,11.2,2.7662037037037037,82.75
1980-01-25,9.49,12.190000000000001,14.89,0.0,10.6,2.9166666666666665,84.9
1980-01-26,10.09,12.79,15.49,0.0,11.1,2.2453703703703707,85.1
1980-01-27,9.09,12.39,15.69,0.0,12.4,3.2175925925925926,78.05
1980-01-28,7.69,10.290000000000001,12.89,0.0,11.0,3.738425925925926,57.75
1980-01-29,6.89,9.34,11.79,0.0,10.1,1.724537037037037,67.65
1980-01-30,7.89,9.84,11.79,0.0,8.1,1.724537037037037,78.4
1980-01-31,7.69,11.09,14.49,0.0,12.9,1.0416666666666667,81.85
1980-02-01,9.39,12.04,14.69,0.0,10.6,2.8472222222222223,84.8
1980-02-02,8.29,11.69,15.09,0.0,12.9,2.5462962962962963,70.6
1980-02-03,7.39,10.94,14.49,0.0,12.4,3.3680555555555554,77.15
1980-02-04,7.99,11.34,14.69,0.0,13.5,3.888888888888889,80.6
1980-02-05,9.79,13.04,16.29,0.0,13.3,2.5462962962962963,82.7
1980-02-06,10.09,13.24,16.39,0.0,13.6,1.875,83.15
1980-02-07,8.89,11.99,15.09,0.0,13.5,2.6157407407407405,83.2
1980-02-08,9.29,12.69,16.09,0.0,13.6,2.8472222222222223,70.19999999999999
1980-02-09,8.09,11.64,15.19,0.0,13.9,0.7523148148148149,78.8
1980-02-10,9.29,12.04,14.79,0.0,12.4,1.2731481481481481,81.9
1980-02-11,9.89,12.09,14.29,0.0,9.8,1.9444444444444444,86.35
1980-02-12,9.49,11.79,14.09,1.0,11.2,4.189814814814815,79.15
1980-02-13,7.29,10.39,13.49,0.0,14.5,2.986111111111111,60.3
