Location,TSUM_0,TSUM_1,TSUM_2,TSUM_3,TSUM_4,TSUM_5,TSUM_6,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,CriticalTemperatureHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd,OrganGrowthRespiration_0,OrganGrowthRespiration_1,OrganGrowthRespiration_2,OrganGrowthRespiration_3,OrganMaintenanceRespiration_0,OrganMaintenanceRespiration_1,OrganMaintenanceRespiration_2,OrganMaintenanceRespiration_3,MaxAssimilationRate,MinimumTemperatureForAssimilation,OptimumTemperatureForAssimilation,MaximumTemperatureForAssimilation
100_100,66.73783443,278.7286023,186.4733608,245.3596851,201.5397215,403.079443,25.19246519,681.118486,912.1013697,35,1,1315.180813,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_101,66.47662321,277.6376613,185.7435059,244.3993497,232.132186,464.264372,29.01652325,678.452595,939.9127029,35,1,1404.177075,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_102,76.26362668,318.5127934,213.089545,280.3809801,195.8452603,391.6905206,24.48065754,778.3376009,1007.828579,35,1,1399.519099,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_103,62.27639532,260.0955331,174.0075751,228.9573354,208.6197366,417.2394732,26.07746708,635.5855634,871.6801802,35,1,1288.919653,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_104,67.00288761,279.8355891,187.2139506,246.3341453,235.5994212,471.1988424,29.44992765,683.8235876,948.9831062,35,1,1420.181949,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_105,68.45560106,285.9028041,191.2730029,251.6750036,216.8150968,433.6301936,27.1018871,698.6498101,945.6659074,35,1,1379.296101,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_106,66.5457041,277.9261756,185.9365261,244.6533236,171.5752017,343.1504034,21.44690021,679.1576264,880.0912269,35,1,1223.24163,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_107,64.85210143,270.8528939,181.204401,238.4268432,190.6549017,381.3098034,23.83186271,661.8729169,881.1390398,35,1,1262.448843,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_108,64.66388284,270.0668045,180.6784961,237.7348631,218.9874646,437.9749292,27.37343308,659.9519801,907.4676283,35,1,1345.442557,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_109,62.60547,261.4699038,174.9270484,230.1671688,200.3776674,400.7553348,25.04720843,638.9440608,866.9417884,35,1,1267.697123,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_110,60.71558012,253.5768343,169.6464738,223.2190442,212.0431153,424.0862306,26.50538941,619.656067,858.4854676,35,1,1282.571698,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_111,65.5780176,273.8846614,183.2326961,241.0956526,164.1148989,328.2297978,20.51436236,669.2815318,862.327909,35,1,1190.557707,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_112,61.88084885,258.4435449,172.9023717,227.5031205,179.2817477,358.5634954,22.41021846,631.5486626,838.1307848,35,1,1196.69428,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_113,66.54231736,277.912031,185.9270631,244.6408723,192.0680133,384.1360266,24.00850166,679.1230618,900.5479797,35,1,1284.684006,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_114,53.0722143,221.6545418,148.2900105,195.1184347,213.6114108,427.2228216,26.70142635,541.6487748,778.6743977,35,1,1205.897219,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_115,55.38270154,231.3042238,154.7457836,203.612873,180.9632272,361.9264544,22.6204034,565.2293357,770.6261077,35,1,1132.552562,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_116,67.34837653,281.2785134,188.1792873,247.6043251,139.9047395,279.809479,17.48809244,687.3496068,856.9668653,35,1,1136.776344,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_117,64.63004109,269.9254654,180.5839383,237.6104449,183.5902552,367.1805104,22.9487819,659.6065951,871.7101037,35,1,1238.890614,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_118,59.11847695,246.9065799,165.1839796,217.3473414,159.0328632,318.0657264,19.8791079,603.35622,788.4707642,35,1,1106.536491,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_119,76.58849598,319.8696005,213.9972681,281.5753525,235.482021,470.964042,29.43525263,781.6531788,1050.924242,35,1,1521.888284,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_120,66.61320755,278.2081018,186.1251387,244.901498,238.3883796,476.7767592,29.79854745,679.8465587,947.6231181,35,1,1424.399877,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
100_121,68.76178734,287.1815821,192.1285234,252.8006884,227.4463123,454.8926246,28.43078904,701.7747113,959.5571062,35,1,1414.449731,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
