Location, TSUM1, TSUM2, TSUM3, TSUM4, TSUM5, TSUM6, TSUM7,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,CriticalTemperatureHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd
100_100,66.73783444,278.7286023,186.4733609,245.3596851,201.5397215,403.079443,25.19246519,681.1184861,912.1013698,35,1,1315.180813
100_101,66.47662319,277.6376613,185.7435059,244.3993497,232.132186,464.264372,29.01652325,678.4525948,939.9127028,35,1,1404.177075
100_102,76.26362667,318.5127934,213.089545,280.38098,195.8452603,391.6905206,24.48065754,778.3376008,1007.828579,35,1,1399.519099
100_103,62.27639531,260.0955331,174.0075751,228.9573354,208.6197366,417.2394733,26.07746708,635.5855633,871.6801802,35,1,1288.919653
100_104,67.00288761,279.8355891,187.2139506,246.3341453,235.5994212,471.1988424,29.44992765,683.8235875,948.9831061,35,1,1420.181949
100_105,68.45560106,285.9028041,191.2730029,251.6750036,216.8150968,433.6301935,27.10188709,698.6498101,945.6659073,35,1,1379.296101
100_106,66.54570409,277.9261756,185.9365261,244.6533235,171.5752017,343.1504034,21.44690021,679.1576264,880.0912269,35,1,1223.24163
100_107,64.85210144,270.8528939,181.204401,238.4268432,190.6549017,381.3098033,23.83186271,661.872917,881.1390398,35,1,1262.448843
100_108,64.66388285,270.0668045,180.6784961,237.7348631,218.9874646,437.9749291,27.37343307,659.9519802,907.4676284,35,1,1345.442557
100_109,62.60547,261.4699038,174.9270484,230.1671688,200.3776674,400.7553349,25.04720843,638.9440608,866.9417885,35,1,1267.697123
100_110,60.71558011,253.5768343,169.6464738,223.2190442,212.0431153,424.0862306,26.50538941,619.656067,858.4854676,35,1,1282.571698
100_111,65.57801758,273.8846614,183.2326961,241.0956526,164.1148989,328.2297978,20.51436237,669.2815317,862.3279089,35,1,1190.557707
100_112,61.88084884,258.4435449,172.9023717,227.5031204,179.2817477,358.5634954,22.41021846,631.5486626,838.1307847,35,1,1196.69428
100_113,66.54231737,277.912031,185.9270631,244.6408723,192.0680133,384.1360267,24.00850167,679.1230618,900.5479798,35,1,1284.684006
100_114,53.07221429,221.6545418,148.2900105,195.1184346,213.6114108,427.2228216,26.70142635,541.6487747,778.6743977,35,1,1205.897219
100_115,55.38270155,231.3042238,154.7457837,203.6128731,180.9632272,361.9264544,22.6204034,565.2293358,770.6261078,35,1,1132.552562
100_116,67.34837654,281.2785134,188.1792873,247.6043252,139.9047395,279.809479,17.48809244,687.3496069,856.9668654,35,1,1136.776344
100_117,64.63004109,269.9254654,180.5839383,237.6104449,183.5902552,367.1805103,22.94878189,659.6065952,871.7101037,35,1,1238.890614
100_118,59.11847695,246.9065799,165.1839797,217.3473415,159.0328632,318.0657264,19.8791079,603.3562201,788.4707642,35,1,1106.536491
100_119,76.58849599,319.8696005,213.9972681,281.5753525,235.482021,470.964042,29.43525263,781.6531789,1050.924242,35,1,1521.888284
100_120,66.61320754,278.2081018,186.1251386,244.901498,238.3883796,476.7767593,29.79854745,679.8465586,947.623118,35,1,1424.399877
