Location, TSUM1, TSUM2, TSUM3, TSUM4, TSUM5, TSUM6,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd
100_100,180,564.3034262,755.0538801,174.3115929,406.7270501,24.20994348,1228.750841,1493.668899,1,1900.395949
100_101,180,586.4213272,784.6482548,176.6623113,412.2120597,24.53643215,1276.911791,1547.731893,1,1959.943953
100_102,180,368.2101323,492.6755292,226.5435609,528.601642,31.46438348,801.764598,1087.429222,1,1616.030864
100_103,180,536.6413149,718.041196,160.65369,374.85861,22.31301252,1168.517567,1415.336201,1,1790.194811
100_104,180,570.4586883,763.2897943,134.6098231,314.0895873,18.69580878,1242.153707,1468.358306,1,1782.447893
100_105,180,571.4720778,764.645738,184.5047162,430.5110044,25.62565505,1244.360327,1520.622532,1,1951.133536
100_106,180,566.7004015,758.2611006,160.0933468,373.5511425,22.23518708,1233.97017,1485.054849,1,1858.605991
100_107,180,530.7805518,710.19933,141.050475,329.1177749,19.59034376,1155.755962,1382.030357,1,1711.148132
100_108,180,535.2372998,716.1625843,161.1180727,375.9421696,22.37751012,1165.460374,1412.517957,1,1788.460126
100_109,180,524.2022884,701.3974282,156.8991368,366.0979859,21.7915468,1141.432025,1382.498853,1,1748.596839
100_110,142.0054396,272.4969247,364.6085612,199.7203063,466.014048,27.73893146,593.3524586,836.8257922,1,1302.83984
100_111,150.3984644,288.6024588,386.1582196,196.2290814,457.8678566,27.25403911,628.421692,870.9897598,1,1328.857616
100_112,143.428378,275.2274282,368.2620519,151.3395144,353.1255337,21.01937702,599.2980338,794.8289945,1,1147.954528
100_113,180,383.7113307,513.4165692,457.3782969,1067.216026,63.52476351,835.5179116,1354.506197,1,2421.722223
100_114,158.1987105,303.5704986,406.1858784,168.7774083,393.8139526,23.44130673,661.0140716,878.5337853,1,1272.347738
100_115,180,360.3452123,482.1520446,161.9423136,377.8653983,22.49198802,784.6390115,1004.43957,1,1382.304969
100_116,157.5642958,302.3531082,404.5569758,175.6355686,409.8163267,24.39382899,658.363247,882.5456527,1,1292.361979
100_117,121.9852391,234.0797833,313.2053439,199.2242418,464.8565642,27.67003361,509.7004859,746.509369,1,1211.365933
100_118,140.8412747,270.2629866,361.6194892,170.7793725,398.4852025,23.71935731,588.4881371,802.6618484,1,1201.147051
100_119,171.1456382,328.4146031,439.4279901,220.4695954,514.4290558,30.62077716,715.1112344,988.3121886,1,1502.741244
100_120,180,386.8000334,517.5493405,171.6670456,400.5564398,23.84264525,842.243453,1076.01642,1,1476.572859
100_121,180,437.2911133,585.1078277,192.2247873,448.5245037,26.69788715,952.1860017,1214.623728,1,1663.148232
100_122,180,376.2761998,503.4681546,208.3754685,486.2094263,28.94103731,819.3281758,1088.119823,1,1574.329249
100_123,180,374.7726962,501.4564245,172.7003717,402.967534,23.98616276,816.0543497,1048.929492,1,1451.897026
100_124,159.1844767,305.462104,408.7168998,201.086432,469.2016747,27.92867114,665.1329758,915.2654358,1,1384.467111
100_125,148.8686068,285.6667861,382.2302067,181.8751264,424.3752948,25.26043424,622.029368,849.7721192,1,1274.147414
100_126,148.2157169,284.4139433,380.5538679,207.6640142,484.5493665,28.84222422,619.3013471,872.6318255,1,1357.181192
100_127,148.1594866,284.3060419,380.4094928,201.8154125,470.9026291,28.02991842,619.0663956,866.5309472,1,1337.433576
100_128,118.6209694,227.6240224,304.5673539,208.1019562,485.5712311,28.9030495,495.6432938,740.2933325,1,1225.864564
100_129,149.4391473,286.7616072,383.6951082,201.2308694,469.5386952,27.94873188,624.4133024,871.6875848,1,1341.22628
100_130,151.0445822,289.8423065,387.8171707,191.2965272,446.3585635,26.56896214,631.1214167,868.9560044,1,1315.314568
100_131,164.9513212,316.5282111,423.5236627,171.1394481,399.325379,23.76936782,689.2290343,911.191322,1,1310.516701
100_132,179.7127975,344.8542873,461.4247507,190.3507983,444.1518626,26.43761089,750.9080679,996.6298362,1,1440.781699
