Location,TSUM_0,TSUM_1,TSUM_2,TSUM_3,TSUM_4,TSUM_5,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd,OrganGrowthRespiration_0,OrganGrowthRespiration_1,OrganGrowthRespiration_2,OrganGrowthRespiration_3,OrganMaintenanceRespiration_0,OrganMaintenanceRespiration_1,OrganMaintenanceRespiration_2,OrganMaintenanceRespiration_3,MaxAssimilationRate
100_100,180,564.3034261,755.0538801,174.3115929,406.72705,24.20994348,1228.750841,1493.668899,1,1900.395949,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_101,180,586.4213272,784.6482548,176.6623113,412.2120596,24.53643214,1276.911791,1547.731893,1,1959.943953,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_102,180,368.2101323,492.6755292,226.5435609,528.601642,31.46438348,801.764598,1087.429222,1,1616.030864,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_103,180,536.6413149,718.041196,160.65369,374.8586099,22.31301252,1168.517567,1415.336201,1,1790.194811,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_104,180,570.4586883,763.2897943,134.6098231,314.0895872,18.69580878,1242.153707,1468.358306,1,1782.447893,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_105,180,571.4720778,764.645738,184.5047162,430.5110044,25.62565505,1244.360327,1520.622532,1,1951.133536,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_106,180,566.7004015,758.2611006,160.0933468,373.5511425,22.23518707,1233.97017,1485.054849,1,1858.605991,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_107,180,530.7805519,710.19933,141.050475,329.117775,19.59034377,1155.755962,1382.030357,1,1711.148132,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_108,180,535.2372998,716.1625843,161.1180727,375.9421696,22.37751012,1165.460374,1412.517957,1,1788.460126,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_109,180,524.2022884,701.3974282,156.8991368,366.0979858,21.7915468,1141.432025,1382.498853,1,1748.596839,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_110,142.0054395,272.4969247,364.6085612,199.7203063,466.014048,27.73893145,593.3524585,836.8257922,1,1302.83984,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_111,150.3984644,288.6024588,386.1582196,196.2290814,457.8678565,27.25403911,628.4216921,870.9897598,1,1328.857616,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_112,143.428378,275.2274282,368.2620519,151.3395144,353.1255335,21.01937702,599.2980339,794.8289945,1,1147.954528,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_113,180,383.7113306,513.4165692,457.3782969,1067.216026,63.52476351,835.5179115,1354.506197,1,2421.722223,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_114,158.1987104,303.5704986,406.1858784,168.7774083,393.8139526,23.44130673,661.0140716,878.5337853,1,1272.347738,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_115,180,360.3452123,482.1520446,161.9423136,377.8653983,22.49198802,784.6390115,1004.43957,1,1382.304969,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_116,157.5642958,302.3531082,404.5569758,175.6355686,409.8163267,24.39382899,658.3632469,882.5456526,1,1292.361979,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_117,121.9852391,234.0797833,313.2053439,199.2242418,464.8565641,27.67003361,509.700486,746.509369,1,1211.365933,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_118,140.8412747,270.2629866,361.6194892,170.7793725,398.4852024,23.71935731,588.4881371,802.6618483,1,1201.147051,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_119,171.1456382,328.4146031,439.4279901,220.4695954,514.4290559,30.62077716,715.1112344,988.3121886,1,1502.741244,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_120,180,386.8000334,517.5493405,171.6670456,400.5564397,23.84264524,842.243453,1076.016419,1,1476.572859,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_121,180,437.2911133,585.1078277,192.2247873,448.5245036,26.69788715,952.1860017,1214.623728,1,1663.148232,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_122,180,376.2761997,503.4681546,208.3754685,486.2094264,28.94103731,819.3281758,1088.119823,1,1574.329249,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_123,180,374.7726962,501.4564245,172.7003717,402.9675339,23.98616276,816.0543497,1048.929492,1,1451.897026,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_124,159.1844767,305.462104,408.7168998,201.086432,469.2016746,27.92867113,665.1329759,915.2654358,1,1384.46711,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_125,148.8686067,285.666786,382.2302067,181.8751264,424.3752949,25.26043424,622.0293679,849.7721191,1,1274.147414,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_126,148.2157169,284.4139434,380.5538679,207.6640142,484.5493664,28.84222422,619.3013471,872.6318255,1,1357.181192,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_127,148.1594866,284.306042,380.4094928,201.8154125,470.9026291,28.02991843,619.0663956,866.5309473,1,1337.433576,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_128,118.6209693,227.6240224,304.5673539,208.1019562,485.5712311,28.9030495,495.6432938,740.2933325,1,1225.864564,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_129,149.4391473,286.7616072,383.6951082,201.2308694,469.5386952,27.94873188,624.4133024,871.6875848,1,1341.22628,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_130,151.0445822,289.8423065,387.8171707,191.2965272,446.3585634,26.56896213,631.1214167,868.9560044,1,1315.314568,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_131,164.9513212,316.528211,423.5236627,171.1394481,399.3253788,23.76936781,689.2290342,911.1913218,1,1310.516701,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_132,179.7127975,344.8542873,461.4247507,190.3507983,444.1518626,26.4376109,750.908068,996.6298363,1,1440.781699,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_133,180,375.6153513,502.5839208,201.1883842,469.4395631,27.94283116,817.8892016,1079.387656,1,1548.827219,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_134,180,354.1934782,473.9208511,149.023808,347.7222186,20.69775113,771.2438271,977.1381373,1,1324.860356,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_135,180,348.8989348,466.8366029,171.4880555,400.1387961,23.81778551,759.7151453,987.2235932,1,1387.362389,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_136,171.803389,329.6767737,441.1168099,194.4343969,453.6802594,27.00477737,717.8595664,965.2279805,1,1418.90824,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_137,174.9169602,335.6514643,449.1111143,117.1009056,273.2354464,16.26401468,730.8692449,901.8634842,1,1175.098931,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_138,171.0999515,328.3269341,439.3106865,223.5028175,521.5065741,31.04205801,714.9203382,991.1404381,1,1512.647012,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_139,180,390.4502212,522.4333946,136.2099238,317.8231555,18.91804499,850.1916084,1049.09354,1,1366.916695,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_140,180,370.3830802,495.5829947,205.0914329,478.5466767,28.48492126,806.4961156,1071.057508,1,1549.604185,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_141,180,357.5883627,478.4633023,194.6214148,454.1166345,27.03075208,778.6360688,1030.67308,1,1484.789714,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_142,180,364.8268365,488.1485841,168.5466105,393.2754244,23.40925148,794.3975905,1021.522031,1,1414.797456,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_143,168.6262192,323.5800423,432.9592116,208.6363138,486.8180655,28.97726583,704.5841485,965.1755677,1,1451.993633,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_144,175.1749675,336.1465595,449.7735655,202.6238243,472.7889233,28.14219784,731.9472971,988.5439493,1,1461.332873,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_145,180,355.8382595,476.1216148,184.7707741,431.1318062,25.66260753,774.8252805,1016.730648,1,1447.862455,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_146,180,363.030049,485.7444318,200.6839748,468.2626078,27.8727743,790.485149,1049.458456,1,1517.721063,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_147,176.2845978,338.27585,452.6226162,212.00191,494.6711233,29.44470975,736.5837522,1002.900376,1,1497.571499,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_85,180,388.6057957,519.9655013,172.8061269,403.214296,24.00085098,846.1754368,1081.377424,1,1484.59172,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_86,180,376.3699362,503.5935767,182.3111082,425.3925857,25.32098727,819.5322837,1062.274621,1,1487.667207,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_87,180,354.8196397,474.7586729,182.9440886,426.86954,25.40890121,772.6072719,1012.522401,1,1439.391941,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_88,180,435.6761029,582.9468983,161.1678462,376.0583077,22.3844231,948.6693734,1179.790847,1,1555.849155,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_89,180,366.8790618,490.8945193,208.1613445,485.7098038,28.91129787,798.8662388,1065.934926,1,1551.644729,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_90,180,414.2492917,554.2772213,211.9564891,494.5651412,29.43840129,902.0132464,1180.483002,1,1675.048143,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_91,180,392.6788488,525.4153611,198.3439056,462.8024463,27.54776469,855.0443666,1116.438115,1,1579.240562,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_92,180,391.170148,523.3966769,169.4934013,395.484603,23.5407502,851.7592236,1084.060226,1,1479.544829,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_93,180,408.8201126,547.0128267,176.8570984,412.6665629,24.56348591,890.1914001,1132.690038,1,1545.356601,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_94,180,371.7261876,497.3801102,177.7864602,414.8350737,24.69256394,809.4206846,1046.892758,1,1461.727832,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_95,180,403.4815345,539.8696589,177.9299929,415.1699834,24.71249903,878.5668343,1121.281186,1,1536.45117,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_96,180,405.6299334,542.7442771,187.2533746,436.9245407,26.00741316,883.2448972,1135.627585,1,1572.552126,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_97,180,431.2619641,577.0406562,167.7417795,391.3974854,23.29746939,939.0577415,1176.0444,1,1567.441885,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_98,180,423.3747879,566.4873923,165.9113336,387.126445,23.0432408,921.8836931,1155.773514,1,1542.899959,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
100_99,180,352.3310926,471.4289268,154.9405933,361.528051,21.51952686,767.1885482,978.7006127,1,1340.228664,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_100,180,431.0892876,576.8096102,182.0767305,424.8457044,25.28843481,938.6817446,1189.975628,1,1614.821333,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_101,180,416.5780416,557.3931543,242.9421157,566.8649366,33.74196054,907.0840174,1216.913312,1,1783.778248,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_102,180,584.021193,781.4368076,160.9751029,375.6085734,22.3576532,1271.685584,1526.433104,1,1902.041677,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_103,180,544.9240816,729.1237712,171.2720055,399.6346794,23.78777856,1186.553,1445.319858,1,1844.954538,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_104,180,532.3478007,712.2963531,140.5217355,327.8840495,19.51690772,1159.168591,1385.165889,1,1713.049939,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_105,180,577.0801218,772.1494588,131.933226,307.844194,18.32405918,1256.571646,1481.162807,1,1789.007001,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_106,180,557.0254522,745.3157459,161.5095311,376.8555725,22.43187934,1212.903309,1463.850729,1,1840.706302,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_107,180,515.514402,689.7727914,145.0202199,338.3805131,20.14169722,1122.514458,1350.307413,1,1688.687926,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_108,180,490.772682,656.6676732,176.2703253,411.2974256,24.48198964,1068.640234,1323.710681,1,1735.008106,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_109,180,536.6059974,717.9939403,150.1169417,350.2728639,20.84957525,1168.440665,1404.716879,1,1754.989743,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_110,180,525.3844068,702.9791359,158.241722,369.2306846,21.97801696,1144.006046,1386.605265,1,1755.835949,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_111,180,538.4211187,720.4226236,175.2445941,408.9040528,24.33952698,1172.393027,1434.088336,1,1842.992389,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
