row,col,Grid_Code,Location,vScenario,Crop,vSowingDOY_ob,vFloweringDOY_ob,vHarvestDOY_ob
180,132,180132,180_132,Historical,WW,251,173,225
179,132,179132,179_132,Historical,WW,251,173,225
178,132,178132,178_132,Historical,WW,251,173,225
140,101,140101,140_101,Historical,WW,251,173,225
150,108,150108,150_108,Historical,WW,251,173,225
181,117,181117,181_117,Historical,WW,251,173,225
151,108,151108,151_108,Historical,WW,251,173,225
144,105,144105,144_105,Historical,WW,251,173,225
154,104,154104,154_104,Historical,WW,251,173,225
141,101,141101,141_101,Historical,WW,251,173,225
179,117,179117,179_117,Historical,WW,251,173,225
176,127,176127,176_127,Historical,WW,251,173,225
150,104,150104,150_104,Historical,WW,251,173,225
149,104,149104,149_104,Historical,WW,251,173,225
149,103,149103,149_103,Historical,WW,251,173,225
152,100,152100,152_100,Historical,WW,251,173,225
171,114,171114,171_114,Historical,WW,251,173,225
150,103,150103,150_103,Historical,WW,251,173,225
182,119,182119,182_119,Historical,WW,251,173,225
177,132,177132,177_132,Historical,WW,251,173,225
137,102,137102,137_102,Historical,WW,251,173,225
192,141,192141,192_141,Historical,WW,251,173,225
140,100,140100,140_100,Historical,WW,251,173,225
147,101,147101,147_101,Historical,WW,251,173,225
152,108,152108,152_108,Historical,WW,251,173,225
138,104,138104,138_104,Historical,WW,251,173,225
139,104,139104,139_104,Historical,WW,251,173,225
163,115,163115,163_115,Historical,WW,251,173,225
154,112,154112,154_112,Historical,WW,251,173,225
169,127,169127,169_127,Historical,WW,251,173,225
95,138,95138,95_138,Historical,WW,251,173,225
147,104,147104,147_104,Historical,WW,251,173,225
139,101,139101,139_101,Historical,WW,251,173,225
145,105,145105,145_105,Historical,WW,251,173,225
138,105,138105,138_105,Historical,WW,251,173,225
140,103,140103,140_103,Historical,WW,251,173,225
142,101,142101,142_101,Historical,WW,251,173,225
145,101,145101,145_101,Historical,WW,251,173,225
180,117,180117,180_117,Historical,WW,251,173,225
151,103,151103,151_103,Historical,WW,251,173,225
181,119,181119,181_119,Historical,WW,251,173,225
136,102,136102,136_102,Historical,WW,251,173,225
148,101,148101,148_101,Historical,WW,251,173,225
154,114,154114,154_114,Historical,WW,251,173,225
96,138,96138,96_138,Historical,WW,251,173,225
139,100,139100,139_100,Historical,WW,251,173,225
141,105,141105,141_105,Historical,WW,251,173,225
145,100,145100,145_100,Historical,WW,251,173,225
146,100,146100,146_100,Historical,WW,251,173,225
137,104,137104,137_104,Historical,WW,251,173,225
150,98,150098,150_98,Historical,WW,251,173,225
191,132,191132,191_132,Historical,WW,251,173,225
138,102,138102,138_102,Historical,WW,251,173,225
148,104,148104,148_104,Historical,WW,251,173,225
162,115,162115,162_115,Historical,WW,251,173,225
170,118,170118,170_118,Historical,WW,251,173,225
180,121,180121,180_121,Historical,WW,251,173,225
181,121,181121,181_121,Historical,WW,251,173,225
182,121,182121,182_121,Historical,WW,251,173,225
144,100,144100,144_100,Historical,WW,251,173,225
186,127,186127,186_127,Historical,WW,251,173,225
151,104,151104,151_104,Historical,WW,251,173,225
174,130,174130,174_130,Historical,WW,251,173,225
148,103,148103,148_103,Historical,WW,251,173,225
144,101,144101,144_101,Historical,WW,251,173,225
146,101,146101,146_101,Historical,WW,251,173,225
147,103,147103,147_103,Historical,WW,251,173,225
157,110,157110,157_110,Historical,WW,251,173,225
186,132,186132,186_132,Historical,WW,251,173,225
190,132,190132,190_132,Historical,WW,251,173,225
149,101,149101,149_101,Historical,WW,251,173,225
146,107,146107,146_107,Historical,WW,251,173,225
187,134,187134,187_134,Historical,WW,251,173,225
185,127,185127,185_127,Historical,WW,251,173,225
185,122,185122,185_122,Historical,WW,251,173,225
189,136,189136,189_136,Historical,WW,251,173,225
175,130,175130,175_130,Historical,WW,251,173,225
168,127,168127,168_127,Historical,WW,251,173,225
141,102,141102,141_102,Historical,WW,251,173,225
175,118,175118,175_118,Historical,WW,251,173,225
146,104,146104,146_104,Historical,WW,251,173,225
172,118,172118,172_118,Historical,WW,251,173,225
186,125,186125,186_125,Historical,WW,251,173,225
166,122,166122,166_122,Historical,WW,251,173,225
137,105,137105,137_105,Historical,WW,251,173,225
168,122,168122,168_122,Historical,WW,251,173,225
143,102,143102,143_102,Historical,WW,251,173,225
175,117,175117,175_117,Historical,WW,251,173,225
178,117,178117,178_117,Historical,WW,251,173,225
136,104,136104,136_104,Historical,WW,251,173,225
154,108,154108,154_108,Historical,WW,251,173,225
156,113,156113,156_113,Historical,WW,251,173,225
148,98,148098,148_98,Historical,WW,251,173,225
157,113,157113,157_113,Historical,WW,251,173,225
140,104,140104,140_104,Historical,WW,251,173,225
151,100,151100,151_100,Historical,WW,251,173,225
184,124,184124,184_124,Historical,WW,251,173,225
164,115,164115,164_115,Historical,WW,251,173,225
169,114,169114,169_114,Historical,WW,251,173,225
177,127,177127,177_127,Historical,WW,251,173,225
143,100,143100,143_100,Historical,WW,251,173,225
144,102,144102,144_102,Historical,WW,251,173,225
136,103,136103,136_103,Historical,WW,251,173,225
192,136,192136,192_136,Historical,WW,251,173,225
144,98,144098,144_98,Historical,WW,251,173,225
145,103,145103,145_103,Historical,WW,251,173,225
140,102,140102,140_102,Historical,WW,251,173,225
146,103,146103,146_103,Historical,WW,251,173,225
151,109,151109,151_109,Historical,WW,251,173,225
189,132,189132,189_132,Historical,WW,251,173,225
154,110,154110,154_110,Historical,WW,251,173,225
187,125,187125,187_125,Historical,WW,251,173,225
156,114,156114,156_114,Historical,WW,251,173,225
137,101,137101,137_101,Historical,WW,251,173,225
188,134,188134,188_134,Historical,WW,251,173,225
145,102,145102,145_102,Historical,WW,251,173,225
139,103,139103,139_103,Historical,WW,251,173,225
144,103,144103,144_103,Historical,WW,251,173,225
142,98,142098,142_98,Historical,WW,251,173,225
145,98,145098,145_98,Historical,WW,251,173,225
174,118,174118,174_118,Historical,WW,251,173,225
155,110,155110,155_110,Historical,WW,251,173,225
180,119,180119,180_119,Historical,WW,251,173,225
186,126,186126,186_126,Historical,WW,251,173,225
150,102,150102,150_102,Historical,WW,251,173,225
146,98,146098,146_98,Historical,WW,251,173,225
142,102,142102,142_102,Historical,WW,251,173,225
142,100,142100,142_100,Historical,WW,251,173,225
96,139,96139,96_139,Historical,WW,251,173,225
146,102,146102,146_102,Historical,WW,251,173,225
167,121,167121,167_121,Historical,WW,251,173,225
153,113,153113,153_113,Historical,WW,251,173,225
154,113,154113,154_113,Historical,WW,251,173,225
168,121,168121,168_121,Historical,WW,251,173,225
179,121,179121,179_121,Historical,WW,251,173,225
141,104,141104,141_104,Historical,WW,251,173,225
158,113,158113,158_113,Historical,WW,251,173,225
174,116,174116,174_116,Historical,WW,251,173,225
150,101,150101,150_101,Historical,WW,251,173,225
139,105,139105,139_105,Historical,WW,251,173,225
186,134,186134,186_134,Historical,WW,251,173,225
181,122,181122,181_122,Historical,WW,251,173,225
146,105,146105,146_105,Historical,WW,251,173,225
152,113,152113,152_113,Historical,WW,251,173,225
166,121,166121,166_121,Historical,WW,251,173,225
182,118,182118,182_118,Historical,WW,251,173,225
153,108,153108,153_108,Historical,WW,251,173,225
155,113,155113,155_113,Historical,WW,251,173,225
156,108,156108,156_108,Historical,WW,251,173,225
178,115,178115,178_115,Historical,WW,251,173,225
171,118,171118,171_118,Historical,WW,251,173,225
185,125,185125,185_125,Historical,WW,251,173,225
151,99,151099,151_99,Historical,WW,251,173,225
